date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:15	0/0	---M--	200	added ('OK')	application/javascript	etag:%220144712dd81be0c3d9724f5e56ce6685-ssl%22	https://beatdrum.netlify.app/assets/js/custom.js	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/js/custom.1b.delayed	(from https://beatdrum.netlify.app/index.html)
14:52:16	14406/14406	---MCZ	200	added ('OK')	text/html	etag:%2285149ebecf3631789ebb22894cd4c72c-ssl-df%22	https://beatdrum.netlify.app/	//Mac/Home/Downloads/web/beatdrum.netlify.app/index-2.html	(from https://beatdrum.netlify.app/assets/css/bootstrap.min.css)
14:52:17	136822/136822	---MCZ	200	added ('OK')	application/octet-stream	etag:%224ca27b939685c0be2849533d0ef0edbe-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-brands-400.eot	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-brands-400.eot	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:17	136822/136822	---M-Z	200	added ('OK')	application/octet-stream	etag:%224ca27b939685c0be2849533d0ef0edbe-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-brands-400.eot?	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-brands-400d41d.eot	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:18	78460/78460	---M--	200	added ('OK')	font/woff2	etag:%2201ef52b25dacaf770642cf3087fe239b-ssl%22	https://beatdrum.netlify.app/assets/webfonts/fa-brands-400.woff2	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-brands-400.woff2	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:19	92136/92136	---MCZ	200	added ('OK')	application/font-woff	etag:%22495e85d2e0659f33b110c4fd60493ea8-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-brands-400.woff	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-brands-400.woff	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:20	136516/136516	---M--	200	added ('OK')	font/ttf	etag:%22fd54ee56d4d252d4fe74f58b0bc80979-ssl%22	https://beatdrum.netlify.app/assets/webfonts/fa-brands-400.ttf	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-brands-400.ttf	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:21	34350/34350	---MCZ	200	added ('OK')	application/octet-stream	etag:%22e582765759f26d1dd0d2f3b8011ec400-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-regular-400.eot	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-regular-400.eot	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:21	751262/751262	---MCZ	200	added ('OK')	image/svg+xml	etag:%22760518e5b25d5fd0c1692b1d9c91c484-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-brands-400.svg	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-brands-400.svg	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:22	34350/34350	---M-Z	200	added ('OK')	application/octet-stream	etag:%22e582765759f26d1dd0d2f3b8011ec400-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-regular-400.eot?	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-regular-400d41d.eot	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:22	13548/13548	---M--	200	added ('OK')	font/woff2	etag:%222f2276d74a0dd9d54b7d583cc03376da-ssl%22	https://beatdrum.netlify.app/assets/webfonts/fa-regular-400.woff2	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-regular-400.woff2	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:23	16772/16772	---MCZ	200	added ('OK')	application/font-woff	etag:%22da88107eda660ad90ea0a84f34a93250-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-regular-400.woff	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-regular-400.woff	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:24	34052/34052	---M--	200	added ('OK')	font/ttf	etag:%22bd2b890b7591f4ea675199680780436e-ssl%22	https://beatdrum.netlify.app/assets/webfonts/fa-regular-400.ttf	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-regular-400.ttf	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:25	145515/145515	---MCZ	200	added ('OK')	image/svg+xml	etag:%22156a861312cb99a2d8735780feb990a6-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-regular-400.svg	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-regular-400.svg	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
14:52:26	204814/204814	---MCZ	200	added ('OK')	application/octet-stream	etag:%22adf0482266ec6f4cbc6edd757daf63f9-ssl-df%22	https://beatdrum.netlify.app/assets/webfonts/fa-solid-900.eot	//Mac/Home/Downloads/web/beatdrum.netlify.app/assets/webfonts/fa-solid-900.eot	(from https://beatdrum.netlify.app/assets/css/fontawesome.min.css)
