word,similarity
seeing,0.7541119865380975
quality,0.6637541941248732
wonderful,0.6673556726394048
pilot,0.43756524141066255
assist,0.41298276138273005
daresay,-0.16684969436808045
play,0.720691573927384
tearing,0.29105758717244634
smiling,0.39415794612299576
catching,0.4728896298964157
clicked,0.2361770460816004
follow,0.7280721215364975
cultural,0.5358227371618381
change,0.7890330064433513
hour,0.5519163931996707
breath,0.44155183935768666
supported,0.5130917646528902
specie,-0.15957555582493932
mistreat,-0.10290713134653148
scenario,0.5270827702653995
became,0.6113732934521867
custom,0.39305861792512153
second,0.6568473006870996
completed,0.4703499885367063
described,0.6747495043972429
sexism,0.14983813856244294
being,0.7911939563687742
present,0.7266228616166516
movingly,0.0885445920652029
classic,0.48378332347643715
aspire,0.19713917585278978
normally,0.6207167865726262
raised,0.5815576900692218
entertainment,0.4884935453568239
sensitivitie,0.0
predictable,0.495146818742224
brief,0.550785560519427
essentially,0.6672072904486679
picture,0.672653713658389
think,0.8135148988201963
minor,0.46997950163445634
instilled,0.195885204663393
shine,0.4015883311579671
involved,0.6770306473914336
cry,0.5013956554313973
maybe,0.7605385552378445
hint,0.4865471093370683
including,0.6199471097602958
medical,0.47286852096472054
mirrored,0.29737298102441734
state,0.5521991856350144
kind,0.8911833970190342
thrilled,0.4434186504956725
befriend,0.01304225742744363
take,0.8019294320953836
transformative,0.1753244721826428
trait,0.33306785299456254
already,0.7316792253836049
service,0.5517326379792244
program,0.6126478740004699
opportunity,0.7377544074812943
help,0.7090645730457088
potrayal,0.0
compromise,0.516292206681733
understand,0.7531292574143587
enjoying,0.4922571652103368
hanbada,0.0
course,0.7226142833143494
comical,0.33144116829974357
special,0.6437078569890462
anyway,0.6629438902221372
normal,0.6267254306043453
intuition,0.2843456646965685
coldplay,0.048426786165336695
guidance,0.4861803104814947
adapt,0.42051120484982585
woman,0.628146058765181
brings,0.6466918480636453
becoming,0.6453396519080248
finishing,0.44701976633006923
according,0.6085205483838956
captivated,0.2551811443304779
black,0.5849163224422368
okinawa,0.11966099996548882
mustard,0.08814049087796627
learned,0.7143300972133831
accepted,0.5860949058320635
internal,0.502645688477622
imaginative,0.41562178876858913
republic,0.3786092952394394
doubt,0.7078438604274839
fresh,0.5312282843778858
often,0.7835060448222922
cinema,0.4276571299569607
globe,0.4038728731831087
dreamy,0.21748440604334468
hollywood,0.5564909973660954
precious,0.4243745316966368
recommend,0.4101275494359503
truly,0.7134896373523096
programme,0.45050549998499484
hated,0.36242558163303884
returning,0.5521519986073645
heartwarming,0.1901452500084351
situation,0.6849044828151779
twice,0.565401520732725
taboo,0.3019492216853759
intuitively,0.22994277249932576
question,0.7543011054957169
acted,0.532985321763178
vehicle,0.4415149500741261
unusual,0.7396176293479826
beautifully,0.4252040852698309
inspiring,0.5527707379295074
strong,0.723171319128413
review,0.5516098449404968
enjoy,0.6138666094317728
directed,0.49432756402214273
favorite,0.5604292602370229
watch,0.6639646744130827
father,0.5809105232140388
outfit,0.34261498855626
taken,0.7735905854570497
minute,0.4545394765088156
establish,0.5577516593298638
gasped,0.044544863499487754
playing,0.6538308479508074
beneficial,0.4013001411393125
telling,0.6917227575853321
lump,0.19605205969860712
opinion,0.5683754360775299
spoiler,0.11622473423717358
pitch,0.505993577264763
bond,0.41049314174340823
goodness,0.3530394642771767
ending,0.567737516423549
surprised,0.6211898420213087
wrong,0.7042569888599569
superb,0.43905411154060486
overdoing,0.046533843511704795
hahaand,0.0
remember,0.7018704787760404
environment,0.5505355167344167
gift,0.51534194926741
anyone,0.7268893511977698
attention,0.7449494224767151
frighten,0.1670855324474564
affect,0.5728456669529377
circle,0.4849026866553807
kdramas,0.0
listening,0.5505345222448298
crossed,0.388717158575202
fully,0.6410297252413205
tried,0.6275081664231466
outer,0.33986453162785957
happened,0.6807831673041491
totally,0.5957707474167956
showing,0.6745996322374512
watchable,0.14634786131964733
marvelous,0.41285750879446015
protagonist,0.40255599920411134
oblivious,0.3088129242416273
later,0.6772172332648062
result,0.7498671473634211
touched,0.45484321887899326
negative,0.5876223243075358
enjoyed,0.5623803120047672
goddess,0.22532755533047263
liked,0.5946031815014409
laugh,0.5086821899271825
divine,0.45000023127756245
honestly,0.4520064964994335
animosity,0.2798869114153393
chernovele,0.0
thing,0.8120498702185273
opening,0.6304283917148028
corny,0.16861697323438743
universal,0.5148459905347039
important,0.7654822663858991
accepts,0.30545951016092476
called,0.7009036020584305
executed,0.37624107920166466
centered,0.44109358820047306
likeable,0.11865518807310158
heaven,0.4480611776620906
language,0.5661751962743655
tonight,0.5250232975887634
conversation,0.577292192882884
sharing,0.5542456559965101
credit,0.4962302687877074
trial,0.48438098967638776
claim,0.5685394504520687
unbelievable,0.47998049784561614
short,0.710704494393199
glorious,0.40815976837240797
written,0.6037785050387279
magenta,-0.03069134124095928
pulled,0.4856330936526331
actually,0.8002637353310271
amazes,0.046914169813179835
worthy,0.5759221356111764
petty,0.2389324192825083
notice,0.6032774167168161
sound,0.6467767129371558
dress,0.43536897108593897
whoever,0.4537442149016867
excerpt,0.22810725128939496
landing,0.3929637509881957
psychic,0.29539025904687
powerful,0.5745748373774888
living,0.6130244828914717
different,0.7578404875781153
believing,0.5924796944240126
disorder,0.34566438510936737
passion,0.6074624920366749
longer,0.7680066524399844
physical,0.6363827377955901
universe,0.4612230601135684
various,0.6258164633122734
happy,0.7286362121084818
article,0.46950159025559934
arisa,-0.33259915634555937
extent,0.633047420743819
changed,0.7094511443238212
heavy,0.5010167655437698
difficult,0.7861641999376661
spectrum,0.38551058098069335
genre,0.5403956355683878
wonder,0.6843750142567597
deliver,0.5517198229570475
igniting,0.08842750716402156
feminine,0.30796210315624284
personally,0.5467548249143567
flipped,0.15133991872923608
ensemble,0.3404142853274159
write,0.6182830536220153
conveyed,0.32092585087871217
advantage,0.6166389461112469
essence,0.5758055459434263
delight,0.4578135612446427
face,0.6795797300336925
explaining,0.6746066193024334
matter,0.7533096670795301
revealing,0.5550785049307052
match,0.5336525613249666
seems,0.8233025870021451
given,0.8070769993179121
vincenzo,-0.05929950696128681
league,0.42574928643635557
literally,0.5675787975829045
deeply,0.5883733648707868
white,0.5516916467497385
varies,0.2904282405931266
frustrated,0.5533466030129999
trust,0.508999854844656
believe,0.7658111961628846
relationship,0.6436245065512185
ancient,0.4427218230256289
journey,0.5265400302822918
overall,0.5527791840074208
reminds,0.4566260217230489
funny,0.5697082893507084
century,0.5235395576341081
academy,0.40890651145954665
parent,0.45267499892027896
phase,0.4700450529391268
peculiar,0.5223284046498252
obsession,0.49670566770145136
loving,0.4955318536225485
leaf,0.25023941565821917
fellow,0.4945269997557371
minus,0.21825281095326599
jiwon,0.0
dolphin,0.13409085378754612
please,0.462510141713721
believable,0.362606312588829
value,0.5976323863381525
destination,0.4033019766763351
daughter,0.45717499562528274
unavoidable,0.2929890726867306
problem,0.6950534245805943
structure,0.5567114044207149
development,0.5799694075890851
thought,0.8279733386871514
heartfelt,0.3316647091348115
lemuria,-0.19526268622201193
trail,0.3631566897915351
young,0.6590068529362727
soul,0.5138643033537338
existing,0.4983102040873556
waking,0.28859919620308483
storytelling,0.4429117671840319
extraordinarily,0.4614135993358274
object,0.5798904752232668
moved,0.516956520638435
decided,0.673672027896912
charming,0.4477566309219807
mirroring,0.17045005080063008
abused,0.34134430852122516
nailed,0.17619414298681815
culture,0.5906371953773792
prattle,-0.1040123236752184
swooning,-0.0729711056447258
focus,0.7368262607903349
orphanage,0.16887824716109548
respectful,0.37153882356853696
sounded,0.4148153107947981
least,0.7043334006681483
created,0.6726178563533003
oscar,0.37016765325023243
naivety,-0.09085008081731481
comprehend,0.28772375844796905
scene,0.6359400034854276
savant,-0.044870821608394486
earth,0.5407852343784069
cliche,0.28233637151265256
studio,0.5079204770602486
third,0.6092802568549134
awesome,0.46733800435252815
sharp,0.5225038818603828
swimming,0.33653421093632413
topic,0.5145174431705557
autistic,0.16671369953925888
watching,0.6544315012129587
timeframe,0.14465854926867594
juridical,0.07641674656241633
greatly,0.5126216705290287
missing,0.5346736323553939
direction,0.6278461428620639
outstanding,0.5283875832944969
wisdom,0.50880351653103
visual,0.5312438943881062
mean,0.741804293707592
uplifted,0.05288908105950189
cannot,0.7209387575165798
relaying,0.06319792947869939
process,0.6465272673281577
kyeong,-0.33327464070957286
recommended,0.4223556684119939
perfect,0.6990452459280291
background,0.5989658138025775
switch,0.47763716537018447
prejudice,0.36011596562036724
egotistical,0.07704270045527381
beluga,-0.06459852015400434
everyone,0.7996472248581865
upbringing,0.30558875033232613
aired,0.37142959745974047
delightful,0.39616092424746585
pattern,0.5280518053028175
sign,0.6114226127174295
introduces,0.3708276566572725
nothing,0.8486290141048166
screwed,0.18106802077284906
story,0.7059412221095092
wonderfully,0.4269967951428151
weekly,0.38602049746776324
responsible,0.6038742715955764
recognize,0.5804636288684915
television,0.5730092553666591
expect,0.6883940084796567
original,0.6305976238869047
relate,0.5283409808511352
doctor,0.5037183982059521
actor,0.45659153782516626
know,0.8078053320642512
nuance,0.285920949388365
expectably,0.0
certain,0.7792688445569047
american,0.6346981590966538
constructed,0.379507574980803
sherlock,0.10739083999419019
vivid,0.49866331558820953
insightful,0.31779440594183517
democracy,0.4687451381938269
attorney,0.3502537169896399
sometimes,0.806563851967756
beloved,0.4582734117839724
aging,0.4270026694691822
example,0.8104278143589649
ovation,0.25636018417480033
work,0.8118031508951922
child,0.6386036223351403
twenty,0.41355787189376736
plush,0.08992726316711822
unwillingness,0.23577443912412901
protect,0.5576572747853185
progress,0.6240351429203961
rolling,0.4511120455816904
towards,0.5783805960438244
detail,0.6311178736378229
cetacean,-0.15318296134753062
giving,0.7681512279233893
stats,0.18955598665922885
gesture,0.4831593473449257
dramatically,0.4628340455461585
message,0.6554486192178045
romance,0.4764734457026478
realized,0.7038691786392943
sheer,0.39573160738138674
aside,0.625984430087372
depiction,0.387488678528946
exactly,0.7483254866445073
junho,-0.4797933148067888
getting,0.745760811640687
master,0.47382659063720234
exploitation,0.3225067431587141
outburst,0.21718738905425966
relatively,0.6372881357296603
placed,0.5364828585478442
adorable,0.21764909241236305
scripted,0.3013666233540925
enamored,0.1898452372629718
veteran,0.42599483857194465
learn,0.7004851632368579
discovery,0.5181367900030311
ass,0.11518380237027184
whole,0.7771361907191972
known,0.6503290970768908
order,0.672757205921068
better,0.8401008408165818
entire,0.6701610487948634
read,0.6449057044020577
place,0.734681449268429
hopeless,0.3197825247757109
viewer,0.46548609499849203
missed,0.5067243236401539
along,0.6306834134660458
great,0.7702855341460768
regret,0.4618745966122658
resonated,0.1801707351164306
depth,0.509334263870675
health,0.5244042342766227
aspect,0.6363088110971016
autism,0.20118251845711563
myeong,-0.25751132574580565
difficulty,0.568938003943426
chance,0.7333888228156391
merge,0.28304666421568436
realy,-0.1573327199637513
physically,0.5260773482298422
lawyer,0.3707865008655266
rooting,0.2751512711633271
small,0.6623572177892467
something,0.8585395994105799
everywhere,0.5916496375585962
moment,0.7831849675468994
insight,0.4343681549321553
played,0.5773420743120186
coping,0.35701217700564664
finger,0.39829495208705656
caliber,0.22032693216571472
drama,0.5653057598275391
flair,0.3178401944685965
waiting,0.6057206040578689
everything,0.7923577646143735
justice,0.4820859094756388
portray,0.4283602015364657
unconditional,0.22500534069875114
shown,0.7102971779398065
soften,0.2887302811770152
expectation,0.48122247293089926
flaw,0.3000223434259163
talking,0.7121121098773908
fascination,0.41489984485613096
reviewer,0.309461255873637
considerably,0.447294351124349
faith,0.57906837714415
dialect,0.2492416887360709
forced,0.5417136797759456
pieced,0.1320446472233355
professional,0.5510462480221197
positive,0.6179848627319825
humanity,0.4727038302222979
korean,0.41299653847439155
subtitle,0.20189340136364592
alongside,0.5313104466203356
similar,0.7432235719290139
seldom,0.5386279857342684
stomach,0.3603141266841731
answer,0.7206356523348656
worth,0.5323525801074052
piece,0.6685055685442512
caring,0.4409656485045036
inevitably,0.5754070642485885
middle,0.6111935245723258
trying,0.7434701776488946
human,0.6169710207250865
honorable,0.3200480987713487
simply,0.8161938970567593
representation,0.4437556251753836
rainman,-0.2971707721419493
extraordinary,0.6320234189637874
ghibli,-0.129640485873915
effect,0.6615392314485468
whimsical,0.3095711378565741
challenge,0.6330772671365205
drawn,0.6237116602395454
announced,0.4635569082185672
produced,0.5632490597304155
touch,0.7238769160408853
regretting,0.09111348114848135
tired,0.5618659652685738
equivalent,0.49180677074493306
loved,0.607551534874668
political,0.6398956778209324
everyday,0.548142389450266
premise,0.5385856896033705
consciousness,0.4790081407279354
budding,0.2733243043842858
galactic,0.1019641972958964
refreshing,0.4198651049242366
together,0.7055498348475302
remarkable,0.6367624208673588
portrayal,0.4491612055743052
forever,0.5454820462739991
sacred,0.39849918272207546
attached,0.4901281321625909
move,0.7311713689477014
suggests,0.6924759880389102
emmy,0.26520868767109723
person,0.7428779256112159
degree,0.4414842638416998
authentic,0.49104614137456376
presented,0.6041515832218531
right,0.7229712073446966
emotional,0.6446499087773913
religion,0.5070792904776523
continues,0.6097623808626554
assemble,0.30210512193405425
especially,0.8075344246846292
unconsciously,0.14060833824109695
wrote,0.5918924140787772
definitely,0.7035248798649083
found,0.6503756933771963
masterful,0.258862137434551
sweet,0.4456591474569388
exceptionally,0.44421747601414896
lead,0.6105796537952958
action,0.7018360217618203
doubted,0.3445740164115455
masculine,0.24858664069292197
enjoyable,0.4314745123512437
talented,0.4788247029564864
spirit,0.6086026353728549
collaborate,0.28747571912735875
lately,0.5854833191481972
shady,0.20954763732281476
number,0.653335427769421
accompaniment,0.24026990894963224
sincerely,0.2471860428788344
plotting,0.2799448548908838
series,0.5929655394368687
coupled,0.421422244120888
mason,0.24663181496288533
brilliantly,0.3566838620099002
fictional,0.40844521797279487
sudden,0.5295032117675896
amazing,0.6303399838987624
acting,0.56783877139933
thoughtfully,0.13068744790637563
bigger,0.6227497851635476
struggled,0.5051560936377187
title,0.5386205870977541
showed,0.6074777751182201
automatically,0.4306409581705438
interconnected,0.21872422981613512
mirror,0.49122560140516575
make,0.8333153515421958
wehoever,0.0
acceptance,0.5091579085280485
usual,0.6775109425735507
mother,0.5808898684068555
excellence,0.39288779598462753
possible,0.7348111190490034
stuff,0.6586669429386108
expression,0.5518984490879801
swarm,0.10488677003697927
gaze,0.30862918843914733
fascinating,0.5265594710287819
close,0.6747247612074976
firstly,0.29989367087637425
storyline,0.3983136260362851
pretty,0.7324626867259425
engaging,0.5339849308167204
logical,0.46289749410646086
following,0.6413910136773391
behavior,0.6126560995771935
stone,0.4280150956983255
honest,0.5657186494905848
source,0.588208298260203
english,0.5402212405582325
dolled,-0.14008849940808368
innocent,0.4698458918698196
squid,0.08793511499586135
writer,0.4230756153351065
cross,0.4997216655684882
clever,0.4965793658625794
watched,0.5345579763581527
guilt,0.41326083422043375
fascinated,0.4163597673257615
typical,0.6489117875553748
wager,0.10886713964507581
couple,0.6886056787668193
hooked,0.3320142159081433
clarity,0.4631029596169552
rushed,0.32289616916295283
generic,0.32764499804534
amusement,0.2862467635963246
impressive,0.5835530230163285
decade,0.6020185879612515
completely,0.6560257386382637
south,0.4705458460330175
kdrama,0.0
profoundly,0.4251366285755922
overwhelming,0.5428922853986029
surprise,0.6380441587395443
musical,0.5890394309931546
always,0.8436632377676179
cost,0.6119425822753417
portuguese,0.2854762543933846
briefly,0.43030760198644985
comedy,0.5491574796996279
major,0.6280617924315846
credible,0.42793538174090084
whale,0.22579148612488112
korea,0.4204863642067853
thanks,0.6699700441704269
still,0.8184933955593916
letter,0.4994501951857113
skill,0.5201797149515565
phenomenal,0.4073943160914922
volunteer,0.32378431724309575
convey,0.49084932373500284
screen,0.6068501900850738
godsend,0.06199466806390425
spectacular,0.5120159788202969
audience,0.6524802032377023
inferior,0.3042217118785206
remembered,0.6035881447478153
august,0.4266204431376371
cried,0.2896591996743463
curious,0.555398469726859
adult,0.5202500775998502
revolving,0.24192155895067324
visit,0.5026910462804983
cricket,0.3317852776519413
sincerity,0.31027618103426
recently,0.6505645921409315
cheesy,0.25668290606502375
stumbled,0.3044936035722784
developed,0.6023279240082665
visuals,0.30979358005706814
brilliant,0.5760607076265897
handicap,0.1845204691781021
analytical,0.3132150317300616
court,0.5149646094637452
skeptical,0.4642460814176012
enough,0.823081269855208
word,0.6638421604529926
vulnerable,0.5141148234811739
looking,0.7884444757049709
wedding,0.413918920167327
foreign,0.5010269690568425
treat,0.5355584616092247
feeling,0.7055438942163358
timing,0.557641099653881
thank,0.4948387255523924
inclusion,0.45345099572414044
condition,0.5483520811356064
solve,0.5123945527450369
saying,0.7225244237625984
accepting,0.45766414097512764
crime,0.5495419539618507
perhaps,0.8514574608212879
westerner,0.004111639618021995
delighted,0.4697708169944873
comparing,0.47738898672930663
masterpiece,0.34870414193997495
actress,0.3849036714089898
nugget,0.038167674529499276
nomination,0.4029835356758886
magical,0.4727531129065727
worked,0.6128000273855629
hoffman,0.2591754789924913
version,0.5486972223974018
kmovies,0.0
walked,0.3817184818814592
spend,0.5809055388935731
asset,0.3479359272031145
comfort,0.5314771514354646
painful,0.5446556523163151
loyalty,0.4302677840253965
first,0.7278556820290785
repeating,0.3713245166589052
someone,0.7380362590552441
others,0.7456676569663535
prize,0.4009591464752349
intend,0.48140246732249475
laughing,0.40148674264797246
sponge,0.08254084403631254
childlike,0.23928268076526438
pinocchio,0.05645099390482734
emotion,0.5537745205620558
energy,0.5060796866581496
joking,0.33345926299612366
equivilent,0.0
society,0.5921723062604504
guide,0.5481757187784897
accuracy,0.41132808323348635
side,0.6285198917916917
relaxes,-0.008835076241339852
nerve,0.31718890617362827
forward,0.5846704343472359
world,0.6783074360914809
varying,0.4138516284767396
unique,0.7031531376561088
serious,0.7135259413113733
released,0.5151726214021308
interesting,0.7068283135943783
innocence,0.42992147073972764
elevate,0.2564312392686914
keep,0.7521843531798459
negligible,0.2431777802734199
heartbreaking,0.32327655218356227
continue,0.6761603176069422
intelligent,0.5334266703564434
clear,0.770969335630618
standing,0.6203257543973996
fantastic,0.5909540083297695
sadly,0.48533392342757287
