word,similarity
craft,0.849423008155355
picture,0.8493659808075451
voila,0.8468317621951227
bonding,0.8272256958227393
emile,0.8237178014920469
growth,0.8185597368253299
junction,0.8163887588789843
conviction,0.8145764301325271
hidden,0.8088968407434605
track,0.8066769783275485
flame,0.8060451516949747
voice,0.8046735549126844
grandma,0.7974918522812936
bell,0.7908019402365533
connect,0.7899877116971182
circumstance,0.7895240424479317
absolute,0.7812015394367098
simplicity,0.7762194663921635
upbringing,0.7753324219203792
threw,0.7748029462108476
jungle,0.7621667469333396
witness,0.7580688944845724
show,0.7569006179544593
asian,0.7542719592305553
sense,0.7465774319944869
showcase,0.7453281874068902
service,0.7442761397885376
plain,0.743911642618142
trust,0.7427459137239543
intimate,0.7416572663786012
child,0.7373443139987694
optimism,0.7371696496293374
defines,0.7371480871399453
water,0.7358184147527128
wood,0.7357320898157051
mosseri,0.7323428199652355
friendship,0.7308883809557938
family,0.730206125326864
tender,0.7288930689395849
plant,0.7287722252740427
effort,0.7284710030299313
tension,0.7236190356895483
eaten,0.7214659074415923
ignorance,0.7207012758387386
work,0.7205789907213695
everybody,0.7204554880228602
vision,0.7197136218986504
sound,0.7191956470232437
award,0.7154208474581538
mighty,0.7135680166698808
anyone,0.7108353794977704
industry,0.7091439821259056
brought,0.7088614457667655
favor,0.708035008630578
city,0.7073643773080903
meant,0.7022017944741985
detail,0.7013041794118625
memory,0.6992577552606932
drama,0.6966537953848663
genre,0.6951619679388412
timing,0.6931122619831311
root,0.6928410130297994
jesus,0.6923123222495406
globe,0.689437140209868
admire,0.6890657299257367
backdrop,0.6879062523621086
outlook,0.6874142864514161
check,0.6873178874865644
offense,0.687308674271455
poignant,0.6834584769546143
superb,0.6818654376307031
brings,0.6793722304068723
heartstrings,0.6785315558929124
element,0.6756450468148344
gonna,0.6754686777045782
shock,0.6729664489716285
asset,0.6725273632232593
problem,0.6706842643141588
concern,0.6695808833526721
reality,0.6694474369331604
relocates,0.668414401377756
earth,0.666408629935886
interpretation,0.6662617599425812
immigration,0.6641594523288241
manner,0.6638021798901406
catalyst,0.6637957610403328
journey,0.6625944200637386
shoot,0.6623855242177519
rawness,0.661747158271178
design,0.6610942661577335
premise,0.6609872419389611
patton,0.6588149840679728
nature,0.6586804947346216
aspect,0.657581980889065
halmeoni,0.654307048433454
choice,0.6541266040801785
honest,0.6537632948947314
agriculture,0.6536096161162235
dress,0.6520458526900714
affair,0.6502076113898643
countryside,0.6500071460131731
levity,0.6496774441971603
observer,0.6495416734367482
rabbit,0.6495267850656483
hand,0.6462087017175067
representation,0.6434386754755141
leaf,0.6432183622499319
recognise,0.6406041768939462
resilience,0.6403030183900407
childhood,0.6378672421202708
leave,0.6370855396263255
essence,0.6364868583230454
descent,0.6360450678938444
chemistry,0.6358792938513188
tissue,0.6346239104921693
generation,0.6327718153142499
brilliant,0.6326699074697146
language,0.6325285745496392
paterfamilias,0.6325046506428316
undergoes,0.6322691253996451
chung,0.6311694832742252
decision,0.6264179482729979
ozark,0.6262328799407887
ability,0.6253389692079574
minari,0.6230711499080636
compassionate,0.6219367871296884
husband,0.6207496681956546
struggle,0.6172964110913175
earnest,0.6136457976897025
introduces,0.6128435866299982
make,0.6122697532464763
spending,0.6108314137506268
forth,0.6107182782753964
remedy,0.6094798789614001
deserve,0.6083575083769256
view,0.6076120672083816
flawless,0.6072453088578402
farmer,0.6039770164501235
seed,0.602310855356126
meal,0.5992443984390141
village,0.5987745932762158
curse,0.5963293762949176
fault,0.5954252659811792
dish,0.5939077946728297
dream,0.593248199884368
patch,0.5904494243552436
plane,0.590328214236024
excess,0.5887148677800669
debut,0.5872811947366969
parasite,0.58690366102173
standout,0.5857039165668736
approach,0.5854483630276335
homeland,0.5853329573783681
everyone,0.5851391046188352
touch,0.5846559932303795
theme,0.5818424600007603
glasgow,0.5815320916103464
commitment,0.577547693757453
screen,0.5765215310867968
cinema,0.5762490451713348
mark,0.5759175237126511
monica,0.5746840413422378
farewell,0.5739092257639138
artist,0.5738989724202144
confronts,0.5737509240822629
belief,0.5734618402541001
camera,0.573243776254031
society,0.5723317101509108
direction,0.5719163977275707
conquer,0.5715826704666096
screenplay,0.5691564806543215
today,0.5670809161568425
statement,0.5647837633068713
cry,0.5639195395144634
card,0.5638826356565617
antonia,0.5637711636809355
watercress,0.5637109181539267
story,0.563133392375942
capture,0.5630698917506207
performance,0.5624295892428821
people,0.5611056746363601
conflict,0.5582764462687199
composer,0.5571266549025523
mean,0.5571077957031485
notice,0.5569090769310259
portrait,0.5566207769729703
director,0.5559849887027597
commanding,0.5545525441169362
subtitle,0.5529452288153954
portion,0.5519045691408762
recognition,0.551599832009036
heart,0.5513554858737565
steven,0.5509609739735617
korea,0.5504521683277284
heartwarming,0.5499179317103263
adaptation,0.5498013553882839
nothing,0.5493798995133613
racism,0.5481029309289753
festival,0.547799666492636
height,0.5467133485495175
emotion,0.5463875500798164
extreme,0.5458680649090359
intention,0.5452978942024553
discover,0.5448457359917037
cleverness,0.5446444124640956
celery,0.5436918786092124
dollar,0.5430765806490032
togetherness,0.5415298296908175
chicken,0.5413250774873026
breath,0.5407278664161663
relief,0.540286810543193
grain,0.5401490600777765
please,0.5394929168151001
jacob,0.5389062065850888
mexico,0.535400205866367
father,0.5317842247810685
speaks,0.5309221124190477
emphasis,0.5302412371532707
music,0.5298477419653091
account,0.5281698295102446
person,0.5257363469428115
soonja,0.5256788132438663
tragedy,0.5238456420228783
humanity,0.5236412307077081
shot,0.5230761321322478
power,0.5205470946258677
level,0.5205234538806074
cliché,0.5204520946947271
despair,0.5202405310927483
watching,0.5192100236341463
stream,0.5176120070158259
business,0.5173375268814588
join,0.5167416164101182
spoiler,0.5129415595900468
visit,0.5119236494429792
isaac,0.5106195967967297
agricukture,0.5093162168558569
share,0.5092264771559462
goal,0.5066682996366004
oscar,0.5055246378321171
disagreement,0.5045792618517007
thing,0.5032813034269914
farmland,0.5014787863132937
grandmother,0.5004465836727234
history,0.499524286284316
move,0.4981616118831313
soundtrack,0.49785526418033565
arrives,0.4966247960650237
nomination,0.4948919011016245
straightforward,0.49407615719685605
equipment,0.488895825748812
moment,0.4874617072757712
afternoon,0.4865745888435783
argument,0.4865585111679499
result,0.48529058612313336
splash,0.4847570639351625
magnificent,0.48453353703914753
trailer,0.483748668105003
issue,0.48238043992854607
acting,0.4808328299334529
idea,0.4805892033927519
meadow,0.4802312077950157
conveys,0.4787606417221883
medium,0.4778815066882653
culture,0.4775916590828755
cooky,0.47695869314412315
feel,0.4760877826737943
producer,0.4751234950774633
masterpiece,0.47511843910069906
summer,0.47497157956976555
costuming,0.47365984684153617
brooklyn,0.47307664804084526
treat,0.47302202284069517
immigrant,0.47263700280011844
money,0.4706219500163178
competition,0.46755828836038327
oklahoma,0.46711587116375153
speech,0.46426145504763316
survival,0.4631182603129746
state,0.4628442456722438
south,0.4627285990103541
wisdom,0.4617302358662064
stone,0.460703846807745
food,0.46066477449827925
exercise,0.4604306254679882
review,0.45961445121172273
balance,0.4595257929428534
intrigue,0.45883600281429116
lincoln,0.4587428540218415
