word,similarity
academy,0.8537299034430299
cannot,0.8519486667664334
basement,0.8486804065087983
cornerstone,0.8278322271518573
maker,0.8212724166128564
brilliance,0.8212570733540674
loses,0.8190114705415681
conjure,0.8176793337475634
greatness,0.8100276306458094
dedication,0.8024169454362587
society,0.7993355789960674
event,0.7988744324901793
life,0.796240442593283
movie,0.7938708590978847
gravity,0.7877414743365583
tackle,0.786730778772353
sympathy,0.7864149936484064
pretzel,0.7847994332064341
wealth,0.7808606701597527
principle,0.7732844322955135
daughter,0.7726585347076675
hysteria,0.7701061741199049
stability,0.7665490319503034
soul,0.7620916648103742
father,0.760014160834749
track,0.7539075770828894
performer,0.7491923858197269
driver,0.7485586970009364
spoil,0.7466817581283278
congrats,0.7447108403559508
chance,0.7446994202940708
aspect,0.7426289453857677
element,0.7423718065243581
oscar,0.7382033340898633
luxury,0.7346806743376963
water,0.7333761188643892
choreography,0.7327897070226389
screenplay,0.731336241811861
cleaning,0.7299048358946365
thrill,0.7295700788722554
turn,0.7271097355751529
possession,0.726386290035158
segment,0.7261834180243332
flight,0.7259199538220475
tutor,0.7213553224227337
heart,0.7202894270210771
therapy,0.7182963487567552
belong,0.7145676618907754
suppose,0.7121028413271853
inhabit,0.7066325172155408
coaster,0.7057820365506307
towards,0.7055869575569067
thank,0.7050296054288129
character,0.7039134045522188
darkcomedy,0.6955050312208606
capital,0.694800512644544
france,0.6939187904455864
rainstorm,0.6936125734079619
insane,0.6923331941571511
tension,0.6912406042910535
industry,0.6861028148863118
generousity,0.6850091965983598
thing,0.6844038890626336
question,0.6831664364067084
threat,0.6810002772432007
distribution,0.6799154442698472
actor,0.6781556931728305
symbiosis,0.6765692206168402
company,0.674745355298604
flood,0.6730554270342073
intricate,0.6715225259126727
analogy,0.6712907282622378
courtyard,0.6660028486663658
today,0.6590562985367686
concept,0.6584654077885241
language,0.6582844370311192
compelling,0.6581635639188519
essence,0.6570930037132585
nobody,0.6570897964990097
brain,0.6564456327860289
repeat,0.6563127802420884
nomination,0.656102689539062
warfare,0.6530890002054414
cinematography,0.6523744798200166
lover,0.649833518219511
study,0.6484060527094662
family,0.6466034955985709
script,0.6465315693193949
stratification,0.6461366162719687
rendering,0.645360397878267
insult,0.6419001883320801
happiness,0.6407157120084372
hierarchy,0.639966866075057
example,0.6378990415218166
medium,0.6363311065944877
scene,0.635709263700914
gasp,0.6354538101981406
seamless,0.6349594963968487
fighting,0.6348592094630546
luminosity,0.6340418308572915
revulsion,0.6339618062168998
crease,0.6335673355044965
transforms,0.6329106126349592
theater,0.6328281285710631
simplicity,0.6306701416894734
divide,0.6302297869271055
flick,0.6284160268192396
detail,0.6255705997029224
mercedes,0.6254186539990834
night,0.6252614777633858
sens,0.6245857904778682
imagination,0.6235047151144604
city,0.6232604310675389
performance,0.6202265133216479
conclude,0.6199163190634926
opinion,0.6197996689460249
viewer,0.6180308352279908
record,0.6157036737486592
plan,0.6145410389748343
reality,0.6140967919350204
cigarette,0.6091145989079357
housekeeper,0.6060889338736085
toilet,0.604871030775082
mansion,0.6030445046900512
carry,0.6027205233238513
cerebrum,0.6011689087092967
rollercoaster,0.6009246553679601
everyone,0.6000309359549681
color,0.5997816963169089
sorry,0.5997039557905394
inequity,0.5975592314034344
window,0.5975446645241994
design,0.5970656681178552
plot,0.597057078536254
chang,0.5961674952618288
undergo,0.5945414433539604
remain,0.5925427476938345
critique,0.5921787096600487
nothing,0.5919418300789768
introductory,0.5908681293149516
something,0.5899121488559855
material,0.5889348010651436
gateway,0.588822883605902
chung,0.5863604667779466
hold,0.586179262724519
clockwork,0.5840351949526988
ignorance,0.5839261344574789
experience,0.5834065310668863
division,0.582951479531125
minute,0.5814135664788526
genius,0.5804146164007993
reach,0.5801420130235138
release,0.5766946574574212
winner,0.5762127644376906
education,0.576204989270908
motif,0.574102710649223
genre,0.5728924516746863
terminator,0.5697906698747555
deeper,0.5688645105478528
palme,0.5648749411542666
claim,0.5646506520435122
seamlessness,0.5641979261140305
joker,0.5626161742893201
