word,similarity
reason,0.8593670272619028
script,0.8455681184638377
birthday,0.8416103723252223
cutter,0.8393984535192756
south,0.8257091357755284
kick,0.8256424873907573
selflessness,0.8086365148862177
group,0.8065987104968038
spook,0.8049689009743963
thought,0.8015020654009326
question,0.8013319164328837
viewer,0.7965024402195418
people,0.7942250273898886
relentless,0.788901360868119
environment,0.7853167235059517
master,0.7635312908758205
character,0.7631332834316229
please,0.7590280359755521
korea,0.7562217571304601
scene,0.7534050403938057
story,0.7437726157627194
background,0.7435783464585606
waste,0.7413562418776048
action,0.7288867832647045
bind,0.7201469177506435
selfishness,0.7184891058155749
hardcore,0.7183769592852145
element,0.717100036726815
film,0.7133217230984379
explicit,0.7101546441620483
introduction,0.7056924476547338
splatter,0.7054207075274013
virus,0.703452507417399
surprise,0.7031780272445383
mother,0.6997133958712576
behaviour,0.6992916940680349
heartbreaking,0.693143878478585
knowledge,0.6928833006815044
prosthetics,0.692141793902904
divert,0.6847072197822431
sense,0.6782858562417828
detail,0.677614149296218
style,0.6750763831482817
minute,0.6737177435243038
scope,0.6712238075743611
verisimilitude,0.669408774130948
anyone,0.6669997118416133
others,0.6669330917586348
scream,0.6538458578974956
brings,0.6536204704880815
steer,0.6535955378637477
spice,0.6520088186472709
shame,0.6514911585803562
score,0.6502948120599262
write,0.6467424931487824
enthusiast,0.6449887516224704
session,0.6394762551684525
thriller,0.638518486202931
apocolypse,0.6379497841587023
moment,0.6371993798911694
place,0.6369561007447313
quicker,0.6362771543102739
claustrophobia,0.6351804787655191
time,0.6344502978996074
dawan,0.6281431617920094
flawless,0.6256803844297695
camera,0.6251241544209148
relationship,0.6231630730261504
quality,0.6197668516885098
location,0.6197059123676547
change,0.6185010198373271
component,0.6184285991133929
movie,0.613637967045928
showcase,0.6121366697535251
worth,0.6116250526677361
sprinter,0.6055355686951973
language,0.6012159666114046
conversation,0.5993361552669139
cheesy,0.5950413879852086
breathtaking,0.5949323134224915
lady,0.5945449017677358
cinematography,0.593047207752526
makeup,0.5916034730386086
feeling,0.5848399789510238
request,0.5837405904908328
death,0.5811311974840526
sohee,0.5785799197961785
depth,0.57662203736743
situation,0.576123320868807
performance,0.5747166179323496
scare,0.5712578907723939
horde,0.5701825100370836
director,0.5696512567389229
regard,0.5692682124677839
netflix,0.5646833772200588
reality,0.5630583037094803
crisp,0.561027884015946
cannot,0.5599279729134932
recommend,0.5597653851525118
differentiate,0.5592383007813946
child,0.5582621508809202
star,0.5527683422126173
survival,0.551356499071369
budget,0.5488230684646112
secure,0.5471452540415267
spicy,0.5462398029143527
period,0.54168624734756
grows,0.5402588331635473
drama,0.5388789296726103
relate,0.5385551515440243
layer,0.537958929226162
example,0.537744606402148
delivers,0.5364976473680181
feel,0.5341469227346576
start,0.5330787891524826
personality,0.5319664897394709
subtitle,0.5311830566674296
review,0.5279125923379994
experience,0.5273191509792197
interaction,0.5247023432506803
cookie,0.5238804606034053
chance,0.5236888718192654
distinct,0.5197201432344708
interest,0.5191511671617914
development,0.5185684137599867
nowadays,0.515158726843089
charachters,0.5149053153499952
witness,0.5140314170886493
space,0.5100548831880368
stuff,0.5083743187170133
allows,0.5057247777389247
unique,0.5037452818463152
board,0.5032126292395696
condition,0.502684711753929
penny,0.5012722285808207
something,0.49971834682537053
wellbeing,0.4958216323394097
hand,0.48465658535212774
friend,0.48158621239884913
superb,0.4793727987865917
goofy,0.47352688813857036
cheerio,0.4699312958084347
storyline,0.46880932575001333
purchase,0.46874181561612355
trick,0.46609418484639537
cinema,0.4654209482233984
arsehole,0.4646243424541472
daytime,0.46386817980824074
woman,0.46336028342421504
hollywood,0.4599948068182551
essence,0.4587918483810911
doubt,0.45469605165124893
chair,0.44925661372339454
stale,0.44712927860237606
emotion,0.44311919273650935
weaks,0.436688382602998
fight,0.43542572122367396
aspect,0.4310647960444616
everytime,0.42682835192097635
class,0.4259196903956078
transformation,0.42406471568840365
thrill,0.42145553378838
carry,0.42119852724008733
history,0.418414996564214
population,0.4159012526298852
break,0.4149800572118625
liiiiiiit,0.4116923301414106
speed,0.4094935272705282
metaphorical,0.4093797109450871
skill,0.40901829205280843
tramp,0.40824323612883806
word,0.404147004771531
life,0.4035550510615844
thing,0.38900645964231595
originality,0.38688424730941484
choice,0.37619533037273806
greedy,0.37009926927545644
disappoint,0.36591348518272515
finale,0.3639570000368375
genre,0.3624032587811621
effect,0.3595136695829478
decision,0.3475081149592039
twist,0.34747805745559807
solide,0.3425560876356597
watch,0.34243143906052975
capture,0.3417498099752916
think,0.33656984391838485
suspense,0.3332895959211881
nail,0.3327528139032644
try,0.32636915462114197
anxiety,0.32386257568120264
everything,0.31200383620914557
music,0.30869249793731546
korean,0.3037309449005249
standard,0.28813007782974365
attention,0.28691503674429847
actor,0.28491027947916125
daughter,0.2848092615440748
recognition,0.2818883611895948
motif,0.2795412208300364
sweet,0.27920239270737657
nature,0.2765457830220599
society,0.26150630742365716
heart,0.25616918112131204
guarantee,0.2536581184704215
manage,0.24389952925899983
everyone,0.2374265310741846
progress,0.22108376755929326
direction,0.20810838223222944
emotiones,0.2051541298690578
knock,0.20403838455581566
opinion,0.20341028778139306
escape,0.19261163168947296
commentary,0.1792890687136665
nothing,0.17762875723753668
apocalypse,0.17526079412558326
sacrifice,0.17446623873105768
father,0.15997137524666838
implies,0.12770276141825712
train,0.12652720037893278
flick,0.12079011078404445
zombie,0.0985493953994942
journey,0.09634630582092739
excellent,0.09194326195982401
show,0.07122850073983064
month,0.06227375286001961
intensity,0.05994728607540296
world,0.0
